cores,size,function,mean_time,trimmed_mean_time,mops,trimmed_mops
1,512,mul,7.901191711425781e-05,7.858872413635254e-05,3317.7779957030784,3335.643921959803
1,1024,mul,0.00035479068756103513,0.00035375356674194336,2955.4777979329347,2964.1425517128896
1,2048,mul,0.0024654388427734373,0.002462834119796753,1701.2403338635309,1703.039586095282
1,4096,mul,0.015998053550720214,0.015989303588867188,1048.703578020259,1049.277468950018
1,8192,mul,0.0769233226776123,0.07337412238121033,872.4124448089045,914.6121523790144
4,512,mul,8.006095886230469e-05,7.94827938079834e-05,3274.305026134604,3298.12261800075
4,1024,mul,0.0003805875778198242,0.00038239359855651855,2755.1503546350937,2742.1379540824564
4,2048,mul,0.0025146007537841797,0.0024996697902679443,1667.9800933361146,1677.9432292736574
4,4096,mul,0.016339755058288573,0.016101300716400146,1026.7727967861745,1041.9789242810298
4,8192,mul,0.0659677505493164,0.06594812870025635,1017.2980500499334,1017.600731402393
8,512,mul,7.41720199584961e-05,7.367134094238281e-05,3534.270741806493,3558.2900575275085
8,1024,mul,0.00032503604888916015,0.0003223419189453125,3226.0298621756033,3252.9929815857986
8,2048,mul,0.002567148208618164,0.002543628215789795,1633.8378851362445,1648.9453820190745
8,4096,mul,0.015870022773742675,0.015883415937423706,1057.1639523894255,1056.272533949726
8,8192,mul,0.06269946098327636,0.06258118152618408,1070.3260115409882,1072.3489452164072
