cores,size,function,mean_time,trimmed_mean_time,mops,trimmed_mops
1,512,div,1.8811225891113283e-05,1.8775463104248047e-05,13935.508590316856,13962.052416203174
1,1024,div,0.0003741025924682617,0.00037300586700439453,2802.910274108725,2811.15149319527
1,2048,div,0.0014652967453002929,0.0014662742614746094,2862.426340229422,2860.5180560026015
1,4096,div,0.005972909927368164,0.005966782569885254,2808.884815611563,2811.769291657403
1,8192,div,0.02385580539703369,0.02377462387084961,2813.104101207354,2822.709808767284
4,512,div,1.876354217529297e-05,1.8715858459472656e-05,13970.922843405337,14006.517551286624
4,1024,div,0.00033679008483886717,0.0003383457660675049,3113.440826209826,3099.1255253089053
4,2048,div,0.001552724838256836,0.0015513896942138672,2701.253883919786,2703.578614479176
4,4096,div,0.005871415138244629,0.005854755640029907,2857.439919503949,2865.5706628115227
4,8192,div,,,,
8,512,div,2.0384788513183594e-05,2.0116567611694336e-05,12859.785120187134,13031.24892178963
8,1024,div,0.0003511190414428711,0.0003510117530822754,2986.3831813023694,2987.2959830898285
8,2048,div,0.0014451026916503906,0.001447528600692749,2902.426259555204,2897.5620916869734
8,4096,div,0.006127381324768066,0.006024748086929321,2738.072777057833,2784.7165985907586
8,8192,div,0.024369525909423827,0.02349853515625,2753.8026077909312,2855.87435785974
