cores,size,function,mean_time,trimmed_mean_time,mops,trimmed_mops
1,64,mul,1.5091896057128906e-05,1.5020370483398438e-05,271.4039365560822,272.69633625396824
1,128,mul,1.5115737915039062e-05,1.5020370483398438e-05,1083.9034185488958,1090.785345015873
1,256,mul,1.5783309936523438e-05,1.5854835510253906e-05,4152.234243867069,4133.50236006015
1,512,mul,1.842975616455078e-05,1.8417835235595703e-05,14223.953787529108,14233.160230110034
1,1024,mul,0.0003418922424316406,0.00034171342849731445,3066.9780412161786,3068.5829486160824
1,2048,mul,0.0014790534973144532,0.0014777183532714844,2835.8027668476366,2838.364963603743
4,64,mul,1.5115737915039062e-05,1.5020370483398438e-05,270.97585463722396,272.69633625396824
4,128,mul,1.52587890625e-05,1.5109777450561523e-05,1073.741824,1084.330993861933
4,256,mul,1.559257507324219e-05,1.5616416931152344e-05,4203.026100061162,4196.609266320611
4,512,mul,1.8715858459472656e-05,1.8775463104248047e-05,14006.517551286624,13962.052416203174
4,1024,mul,0.0003542900085449219,0.00035583972930908203,2959.654448925976,2946.7648315604692
4,2048,mul,0.0018456220626831056,0.0017712712287902832,2272.569278838408,2367.96258631975
8,64,mul,1.9311904907226562e-05,1.940131187438965e-05,212.09715041975306,211.1197441966206
8,128,mul,1.5282630920410155e-05,1.5228986740112305e-05,1072.0667197503901,1075.8430800156555
8,256,mul,1.571178436279297e-05,1.5735626220703125e-05,4171.136675933232,4164.816771878788
8,512,mul,1.86920166015625e-05,1.8656253814697266e-05,14024.383007346938,14051.266808638977
8,1024,mul,0.0004330873489379883,0.0004355013370513916,2421.1651588791633,2407.744617041812
8,2048,mul,0.0028061866760253906,0.0027487576007843018,1494.6632153284622,1525.8908238410113
