cores,size,function,mean_time,trimmed_mean_time,mops,trimmed_mops
1,64,sub,2.0742416381835936e-06,2.0563602447509766e-06,1974.6976073563221,1991.8688908985507
1,128,sub,4.76837158203125e-06,4.76837158203125e-06,3435.9738368000003,3435.9738368000003
1,256,sub,1.697540283203125e-05,1.677870750427246e-05,3860.6447604494383,3905.902762969805
1,512,sub,8.327960968017578e-05,8.305907249450684e-05,3147.7573082622384,3156.115185578759
1,1024,sub,0.0003448009490966797,0.00034296512603759766,3041.105318146868,3057.3837407744177
1,2048,sub,0.00240473747253418,0.00239408016204834,1744.1837405976482,1751.9480201579445
4,64,sub,2.5033950805664062e-06,2.384185791015625e-06,1636.1780175238093,1717.9869184000001
4,128,sub,6.031990051269531e-06,6.020069122314453e-06,2716.1848512252964,2721.563435089109
4,256,sub,1.3756752014160157e-05,1.385807991027832e-05,4763.915198336222,4729.082270004301
4,512,sub,7.700920104980469e-05,7.659196853637695e-05,3404.0607671083594,3422.6042887968874
4,1024,sub,0.0003396511077880859,0.00033906102180480957,3087.2150155159343,3092.587860493276
4,2048,sub,0.0024257659912109374,0.00241929292678833,1729.0637329391416,1733.6900189131045
8,64,sub,2.5987625122070313e-06,2.473592758178711e-06,1576.1347875229355,1655.8910056867471
8,128,sub,4.625320434570312e-06,4.470348358154297e-06,3542.2410688659797,3665.0387592533334
8,256,sub,1.373291015625e-05,1.3500452041625977e-05,4772.185884444445,4854.355972520972
8,512,sub,7.200241088867188e-05,7.206201553344727e-05,3640.7669793907285,3637.755592311001
8,1024,sub,0.0004528045654296875,0.0004490315914154053,2315.736368525695,2335.1942715093915
8,2048,sub,0.002471160888671875,0.0024773478507995605,1697.3010617104046,1693.0621990150855
